Received,Device Name,Type,DevAddr,MAC,U/L RSSI,U/L SNR,FCnt,Datarate,ACK,Port,Frequency,MAC Command,Data
2025-05-28 14:02:39,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,97,SF7BW125,true,0,923.4,,
2025-05-28 14:02:38,Adv_1,Confirmed_Up,FF7A1BEA,"0016C001F1DE3499
74FE48FFFE6B410C",-88,10.8,96,SF7BW125,false,1,923.4,,8160585008070000008F3100005441E2FF00009D02C8008E0005005C02FEFF160094000000E00172010601F9FFFF02010031004A0000006301F800B0001E002802F3FF160043000300000000FDA6366860091B0002D10DFEA6366856
2025-05-28 14:01:39,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,96,SF7BW125,true,0,922.8,,
2025-05-28 14:01:38,Adv_1,Confirmed_Up,FF7A1BEA,"0016C001F1DE312E
0016C001F1DE3499
74FE48FFFE6B410C",-95,11.2,95,SF7BW125,false,1,922.8,,815F58500807000000CE3100005441E2FF00000903F700AF0006011D040B001C00A000000097014801E800FFFF230312003000380000001501E700A4005400F702E7FF18002E000300000000C1A6366860091B0002D20DC2A63668E9
2025-05-28 14:00:40,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,95,SF7BW125,true,0,922,,
2025-05-28 14:00:39,Adv_1,Confirmed_Up,FF7A1BEA,"0016C001F1DE3499
0016C001F1DE312E",-85,10,94,SF7BW125,false,1,922,,815E585008070000000C3200005441E2FF0000B0032001CC005102AD0609002200C6000000ED014201E4001200A3030C003100510000007901E300A1006900D802F5FF1A004100030000000085A6366860091B0002D20D86A63668E7
2025-05-28 13:59:40,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,94,SF7BW125,true,0,922.4,,
2025-05-28 13:59:39,Adv_1,Confirmed_Up,FF7A1BEA,"0016C001F1DE312E
0016C001F1DE3499
74FE48FFFE6B410C",-94,11.8,93,SF7BW125,false,1,922.4,,815D58500807000000893200005441E2FF00008F02DC009C00CD00FB0313001A00850000005E013C01E0000E006C030E002F0030000000F100F000AA0015002102EEFF17002B00030000000049A6366860091B0002D20D4AA6366846
2025-05-28 13:58:58,79_2A1F_MAU108,Unconfirmed_Down,FF9944CC,0016C001F1DE3499,,,73,SF8BW125,true,0,922.8,06,
2025-05-28 13:58:57,79_2A1F_MAU108,Confirmed_Up,FF9944CC,"0016C001F1DE3499
74FE48FFFE6B410C",-80,11.8,123,SF8BW125,false,1,922.8,,817B40500807000000564500005429E2170000BB028A01170178020000DC02FF016A01A50100005601C0013D01400103000000002FA6366860091B0002920D30A636686D
2025-05-28 13:58:40,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,93,SF7BW125,true,0,922,,
2025-05-28 13:58:39,Adv_1,Confirmed_Up,FF7A1BEA,"0016C001F1DE312E
0016C001F1DE3499
74FE48FFFE6B410C",-95,9.2,92,SF7BW125,false,1,922,,815C58500807000000063300005441E2FF0000FA045A01F5000C02810508002500FF0000007B025D01F7002300CB0315003200730000008D01F300AC007100DC02EDFF19004C0003000000000DA6366860091B0002D20D0EA636688E
2025-05-28 13:57:40,Adv_1,Unconfirmed_Down,FF7A1BEA,0016C001F1DE3499,,,92,SF7BW125,true,0,923.4,,
