Received,Device Name,Type,DevAddr,MAC,U/L RSSI,U/L SNR,FCnt,Datarate,ACK,Port,Frequency,MAC Command,Data
2025-08-19 11:04:26,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4098,SF7BW125,true,0,923.4,,
2025-08-19 11:04:25,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-91,7.2,18302,SF7BW125,false,1,923.4,,817E3A500807000000918400005423E20700002A006100450000002900CA008F0000001A0082005C000300000000EFE9A36860091B0002DA0DEFE9A3686D
2025-08-19 11:03:27,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4097,SF7BW125,true,0,922.8,,
2025-08-19 11:03:26,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-89,-8.8,18301,SF7BW125,false,1,922.8,,817D3A500807000000538400005423E207000027006000440000002B00CD009100000019007F005A000300000000B3E9A36860091B0002DA0DB4E9A368B9
2025-08-19 11:03:23,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23148,SF10BW125,true,0,923.4,,
2025-08-19 11:03:22,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-90,-9.5,38079,SF10BW125,false,1,923.4,069306,01BF6888
2025-08-19 11:03:16,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23147,SF10BW125,true,0,922.6,06,
2025-08-19 11:03:15,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-84,-17.8,38078,SF10BW125,false,1,922.6,,01BE00600716023A6A75A4
2025-08-19 10:58:31,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4096,SF7BW125,true,0,923.4,,
2025-08-19 10:58:30,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-94,4.8,18296,SF7BW125,false,1,923.4,,81783A500807000000598300005423E207000030006200460000002C00CD009100000017007F005A00030000000087E8A36860091B0002DA0D87E8A368AB
2025-08-19 10:57:53,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23146,SF10BW125,true,0,922.6,,
2025-08-19 10:57:52,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-96,1.5,38072,SF10BW125,false,1,922.6,,81B81B8304001100008304
2025-08-19 10:52:53,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23145,SF10BW125,true,0,922.8,,
2025-08-19 10:52:52,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-89,-0.8,38070,SF10BW125,false,1,922.8,,01B600600716023A0173A4
2025-08-19 10:52:39,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23144,SF10BW125,true,0,922.8,,
2025-08-19 10:52:38,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-85,-9.8,38068,SF10BW125,false,1,922.8,,81B41B8304001100008304
2025-08-19 10:51:27,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4095,SF7BW125,true,0,923,,
2025-08-19 10:51:26,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-89,-6,18289,SF7BW125,false,1,923,,81713A500807000000A38100005423E207000026005A00400000002F00CB00900000001600790056000300000000E3E6A36860091B0002DA0DE4E6A368E5
2025-08-19 10:49:31,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4094,SF7BW125,true,0,922,,
2025-08-19 10:49:30,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-90,4.5,18287,SF7BW125,false,1,922,,816F3A500807000000268100005423E20700002B005A00400000002900CA008F00000018007800550003000000006BE6A36860091B0002DA0D6BE6A368E7
2025-08-19 10:47:35,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23143,SF10BW125,true,0,922.8,,
2025-08-19 10:47:34,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23142,SF10BW125,true,0,923.4,,
2025-08-19 10:47:34,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-90,-6.2,38067,SF10BW125,false,1,922.8,,01B368A8
2025-08-19 10:47:33,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-92,0.5,38066,SF10BW125,false,1,923.4,,01B200600716023ACC71A4
2025-08-19 10:47:32,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23141,SF10BW125,true,0,922.6,,
2025-08-19 10:47:31,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-89,-7.8,38065,SF10BW125,false,1,922.6,,01B1011100008304021100
2025-08-19 10:47:30,WISE-4610-S617,Unconfirmed_Down,FF5BDF2B,0016C001F1DE40D9,,,23140,SF10BW125,true,0,922.6,,
2025-08-19 10:47:29,WISE-4610-S617,Confirmed_Up,FF5BDF2B,0016C001F1DE40D9,-88,-9.5,38064,SF10BW125,false,1,922.6,,81B01B8304001100008304
2025-08-19 10:46:26,WISE-2410-VibTest,Unconfirmed_Down,FFB1FA66,0016C001F1DE40D9,,,4093,SF7BW125,true,0,923.4,,
2025-08-19 10:46:25,WISE-2410-VibTest,Confirmed_Up,FFB1FA66,0016C001F1DE40D9,-89,0.2,18284,SF7BW125,false,1,923.4,,816C3A5008070000006B8000005423E2070000290057003E0000002A00C4008B0000001A00790056000300000000B7E5A36860091B0002DA0DB7E5A368D0
